Date,Open,High,Low,Close,Volume
9-Mar-18,324.10,328.49,322.37,327.17,5506764
8-Mar-18,332.86,333.30,326.27,329.10,3566244
7-Mar-18,325.44,332.50,321.74,332.30,5007297
6-Mar-18,333.75,336.37,327.03,328.20,4285744
