Date,Open,High,Low,Close,Volume
9-Mar-18,76.29,76.88,75.76,76.62,6687513
8-Mar-18,76.01,76.27,75.29,75.73,3608699
7-Mar-18,74.03,76.05,74.02,75.98,4973699
6-Mar-18,74.42,75.50,74.36,75.17,9082697
5-Mar-18,72.20,73.57,71.77,73.44,6524384
2-Mar-18,72.35,72.99,71.44,72.69,7649365
