Date,Open,High,Low,Close,Volume
9-Mar-18,95.29,96.54,95.00,96.54,36937254
8-Mar-18,94.27,95.10,93.76,94.43,25887828
7-Mar-18,93.16,93.94,92.43,93.86,26716127
6-Mar-18,94.34,94.49,92.94,93.32,22175776
5-Mar-18,92.34,94.27,92.26,93.64,23901578
