Date,Open,High,Low,Close,Volume
9-Mar-18,1136.00,1160.80,1132.46,1160.04,2128038
8-Mar-18,1115.32,1127.60,1112.80,1126.00,1355125
7-Mar-18,1089.19,1112.22,1085.48,1109.64,1292537
6-Mar-18,1099.22,1101.85,1089.78,1095.06,1532783
5-Mar-18,1075.14,1097.10,1069.00,1090.93,1202174
